1D	photolysis rate of ozone to 1D oxygen atom
to	tendency of atmosphere mass content of cfc12 due to emission
to	tendency of atmosphere mass content of chlorinated hydrocarbons due to emission from forest fires
to	tendency of atmosphere mass content of chlorinated hydrocarbons due to emission from land transport
to	tendency of atmosphere mass content of chlorinated hydrocarbons due to emission from savanna and grassland fires
to	tendency of atmosphere mass content of chlorinated hydrocarbons due to emission from solvent production and use
to	tendency of atmosphere mass content of chlorinated hydrocarbons due to emission from waste treatment and disposal
to	tendency of atmosphere mass content of dimethyl sulfide due to dry deposition
to	tendency of atmosphere mass content of dimethyl sulfide due to emission
to	tendency of atmosphere mass content of dimethyl sulfide due to emission from forest fires
to	tendency of atmosphere mass content of dimethyl sulfide due to emission from savanna and grassland fires
to	tendency of atmosphere mass content of dimethyl sulfide due to wet deposition
to	tendency of atmosphere mass content of dust dry aerosol particles due to dry deposition
to	tendency of atmosphere mass content of dust dry aerosol particles due to emission
to	tendency of atmosphere mass content of dust dry aerosol particles due to gravitational settling
to	tendency of atmosphere mass content of dust dry aerosol particles due to turbulent deposition
to	tendency of atmosphere mass content of dust dry aerosol particles due to wet deposition
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to dry deposition
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from agricultural waste burning
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from energy production and distribution
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from forest fires
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from industrial processes and combustion
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from land transport
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from maritime transport
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from residential and commercial combustion
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from savanna and grassland fires
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from waste treatment and disposal
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to gravitational settling
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to turbulent deposition
to	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to wet deposition
to	tendency of atmosphere mass content of esters due to emission from land transport
to	tendency of atmosphere mass content of esters due to emission from solvent production and use
to	tendency of atmosphere mass content of esters due to emission from waste treatment and disposal
to	tendency of atmosphere mass content of ethane due to emission
to	tendency of atmosphere mass content of ethane due to emission from agricultural production
to	tendency of atmosphere mass content of ethane due to emission from agricultural waste burning
to	tendency of atmosphere mass content of ethane due to emission from energy production and distribution
to	tendency of atmosphere mass content of ethane due to emission from forest fires
to	tendency of atmosphere mass content of ethane due to emission from industrial processes and combustion
to	tendency of atmosphere mass content of ethane due to emission from land transport
to	tendency of atmosphere mass content of ethane due to emission from maritime transport
to	tendency of atmosphere mass content of ethane due to emission from residential and commercial combustion
to	tendency of atmosphere mass content of ethane due to emission from savanna and grassland fires
to	tendency of atmosphere mass content of ethane due to emission from waste treatment and disposal
to	tendency of atmosphere mass content of ethanol due to emission
to	tendency of atmosphere mass content of ethene due to emission
to	tendency of atmosphere mass content of ethene due to emission from agricultural production
to	tendency of atmosphere mass content of ethene due to emission from agricultural waste burning
to	tendency of atmosphere mass content of ethene due to emission from energy production and distribution
to	tendency of atmosphere mass content of ethene due to emission from forest fires
